MODEL,ERRO ABSOLUTO MEDIO,TOTAL SETUP,INICIAR BEHAVIOUR,TOTAL BEHAVIOUR,IMPORTAR DATA,SPLIT DATA,TRAIN MODEL,TEST MODEL,TEMPO TOTAL
M5P,5966,57,0,5335,435,319,4554,27,5392
M5P,5966,37,1,4287,362,249,3660,16,4325
M5P,5966,38,0,4213,349,232,3616,16,4251
M5P,5966,41,0,4135,340,238,3541,16,4176
M5P,5966,40,0,4213,344,232,3621,16,4253
M5P,5966,40,0,4285,338,265,3660,22,4325
M5P,5966,44,0,5185,426,276,4461,22,5229
M5P,5966,48,0,5198,409,305,4461,23,5246
M5P,5966,39,0,5131,409,298,4403,21,5170
M5P,5966,49,1,5178,418,277,4462,21,5228
M5P,5966,42,0,5236,410,317,4491,18,5278
